status	path	owners	hunks	changed_lines
A	src/kodezart/services/union_composition.py	M3	1	160
A	src/kodezart/services/union_identity.py	M3	1	25
A	src/kodezart/services/union_tick.py	M3	1	127
M	src/kodezart/types/domain/accept.py	M3	1	4
M	src/kodezart/types/domain/agent.py	M1,M2,M3,M4,M6,M7	25	254
A	src/kodezart/types/domain/assertion_drift.py	M1,M4,M6,M7	1	67
A	src/kodezart/types/domain/audit.py	M1,M2,M4,M6	1	322
A	src/kodezart/types/domain/audit_detection_removal.py	M6	1	191
A	src/kodezart/types/domain/audit_evidence.py	M6	1	46
A	src/kodezart/types/domain/audit_forge.py	M6	1	69
A	src/kodezart/types/domain/audit_overclaim.py	M6	1	206
A	src/kodezart/types/domain/audit_terminal.py	M6	1	76
M	src/kodezart/types/domain/branch.py	M3	6	43
A	src/kodezart/types/domain/check_chain.py	M5	1	25
A	src/kodezart/types/domain/check_observation.py	M5	1	65
M	src/kodezart/types/domain/credentials.py	M1	1	4
M	src/kodezart/types/domain/criteria.py	M3	21	132
A	src/kodezart/types/domain/criterion_evidence.py	M4	1	14
A	src/kodezart/types/domain/criterion_lifecycle.py	M4	1	107
A	src/kodezart/types/domain/criterion_ref.py	M4	1	5
A	src/kodezart/types/domain/delivery.py	M5	1	137
M	src/kodezart/types/domain/dispatch.py	M3	17	99
A	src/kodezart/types/domain/escalation.py	M4	1	30
M	src/kodezart/types/domain/fire.py	M3	2	4
A	src/kodezart/types/domain/fire_spec.py	M3	1	39
M	src/kodezart/types/domain/gating.py	M1	12	136
D	src/kodezart/types/domain/github.py	M5	1	68
A	src/kodezart/types/domain/issue_identity.py	M1	1	15
A	src/kodezart/types/domain/mandate_graph.py	M2	1	61
A	src/kodezart/types/domain/native_delivery.py	M5	1	64
A	src/kodezart/types/domain/node_session.py	M4	1	36
A	src/kodezart/types/domain/notion_records.py	M4	1	50
M	src/kodezart/types/domain/operation.py	M1,M2,M4,M5	25	352
A	src/kodezart/types/domain/organize.py	M2	1	320
A	src/kodezart/types/domain/organize_owner.py	M2	1	325
M	src/kodezart/types/domain/outcome.py	M5	5	20
A	src/kodezart/types/domain/pr_state.py	M5	1	27
A	src/kodezart/types/domain/privacy.py	M1	1	79
M	src/kodezart/types/domain/prompts.py	M1,M2,M4,M6	2	10
M	src/kodezart/types/domain/remediation.py	M3	2	19
A	src/kodezart/types/domain/run_alarm.py	M7	1	256
A	src/kodezart/types/domain/run_event.py	M4	1	90
M	src/kodezart/types/domain/run_records.py	M4	18	61
A	src/kodezart/types/domain/run_state.py	M4	1	80
A	src/kodezart/types/domain/scope.py	M1	1	42
A	src/kodezart/types/domain/scope_address.py	M1	1	25
A	src/kodezart/types/domain/scope_ready.py	M3	1	23
A	src/kodezart/types/domain/scope_runtime.py	M5	1	50
A	src/kodezart/types/domain/scope_terminal.py	M5	1	30
A	src/kodezart/types/domain/self_writes.py	M1	1	46
M	src/kodezart/types/domain/session.py	M1,M5	18	305
A	src/kodezart/types/domain/surface.py	M1	1	82
A	src/kodezart/types/domain/topology.py	M3	1	33
M	src/kodezart/types/domain/tracker.py	M1	15	72
A	src/kodezart/types/domain/tracker_writes.py	M1	1	10
M	src/kodezart/types/domain/trajectory.py	M1	1	2
M	src/kodezart/types/domain/transport.py	M1	3	6
A	src/kodezart/types/domain/union.py	M3	1	166
A	src/kodezart/types/domain/union_tick.py	M3	1	45
M	src/kodezart/types/domain/workflow.py	M1,M3,M4,M5	20	96
A	src/kodezart/types/domain/write_back.py	M4	1	80
A	src/kodezart/types/job_acceptance.py	M1	1	10
M	src/kodezart/types/requests/agent.py	M3	6	23
M	src/kodezart/types/responses/job.py	M1	4	15
A	tests/adapters/scanner_result_wire.json	M1	1	57
A	tests/adapters/test_cache_configured_remote.py	M1	1	38
A	tests/adapters/test_check_chain_cleanup.py	M5	1	119
A	tests/adapters/test_check_chain_runner.py	M5	1	273
A	tests/adapters/test_ci_observation.py	M5	1	184
A	tests/adapters/test_ci_rerun.py	M5	1	678
A	tests/adapters/test_ci_watch_evidence.py	M5	1	196
A	tests/adapters/test_ci_watch_result.py	M5	1	124
M	tests/adapters/test_claude_client_executor.py	M1	2	3
M	tests/adapters/test_claude_executors.py	M1	12	50
A	tests/adapters/test_forge_query.py	M5	1	249
M	tests/adapters/test_git_artifact_persister.py	M4	6	12
M	tests/adapters/test_git_branch_merger.py	M1	4	8
M	tests/adapters/test_git_change_persister.py	M4	17	52
M	tests/adapters/test_git_worktree_provider.py	M1	6	12
M	tests/adapters/test_github_api.py	M5	66	158
M	tests/adapters/test_http_mcp_tool_caller.py	M1	5	57
M	tests/adapters/test_judgment_scanner.py	M1	62	258
A	tests/adapters/test_knowledge_settings_delivery.py	M5	1	130
M	tests/adapters/test_knowledge_transport.py	M1	10	72
A	tests/adapters/test_nested_run_progress.py	M1	1	92
M	tests/adapters/test_outbound_corpus.py	M1	10	37
M	tests/adapters/test_outbound_gate.py	M1	14	169
A	tests/adapters/test_permission_boundary.py	M1	1	310
A	tests/adapters/test_pr_state_reader.py	M5	1	272
A	tests/adapters/test_record_failure_boundary.py	M4	1	107
A	tests/adapters/test_record_publication_failures.py	M4	1	91
A	tests/adapters/test_scanner_sdk_failures.py	M1	1	456
A	tests/adapters/test_self_write_history_receipts.py	M1	1	256
A	tests/adapters/test_self_write_replay.py	M1	1	467
A	tests/adapters/test_shared_retry.py	M1	1	440
A	tests/adapters/test_tool_selection.py	M1	1	238
M	tests/adapters/test_tracker_self_writes.py	M1	28	197
A	tests/adapters/tool_request_schemas.json	M1	1	313
M	tests/api/v1/test_agent.py	M3	7	18
A	tests/api/v1/test_dependencies.py	M1	1	259
A	tests/api/v1/test_job_acceptance.py	M1	1	125
M	tests/api/v1/test_jobs.py	M1	35	109
A	tests/api/v1/test_scope_request_boundary.py	M1	1	281
A	tests/audit_replacements.py	M6	1	78
A	tests/chains/fire_spec_prompt_goldens.json	M3	1	249
M	tests/chains/test_accept_gate.py	M3	35	155
A	tests/chains/test_audit_pass.py	M6	1	333
A	tests/chains/test_audit_terminal_cancellation.py	M6	1	50
A	tests/chains/test_authored_check_routing.py	M5	1	559
M	tests/chains/test_criteria_validation.py	M3	32	61
A	tests/chains/test_delivery_coordinator.py	M5	1	263
M	tests/chains/test_dispatch_definitions.py	M1,M3,M4	13	34
A	tests/chains/test_fire_extraction.py	M3	1	254
A	tests/chains/test_fire_graph.py	M3	1	32
A	tests/chains/test_fire_spec_prompt_consumers.py	M3	1	142
A	tests/chains/test_fresh_write_back_judge.py	M4	1	116
A	tests/chains/test_lane_delivery.py	M5	1	479
A	tests/chains/test_native_delivery.py	M5	1	370
A	tests/chains/test_native_fire.py	M3	1	1098
A	tests/chains/test_native_fresh_boundaries.py	M3	1	239
A	tests/chains/test_native_port_failures.py	M3	1	42
A	tests/chains/test_node_session_events.py	M4	1	269
A	tests/chains/test_organize.py	M2	1	1076
A	tests/chains/test_organize_correction.py	M2	1	54
A	tests/chains/test_organize_delivery_independent.py	M2	1	196
A	tests/chains/test_organize_native_independent.py	M2	1	119
A	tests/chains/test_organize_owner.py	M2	1	581
A	tests/chains/test_organize_ownership.py	M2	1	128
M	tests/chains/test_outbound_gating.py	M1	13	42
M	tests/chains/test_ralph_loop.py	M3	21	39
M	tests/chains/test_ralph_workflow.py	M3	273	524
M	tests/chains/test_remediation.py	M3	2	3
M	tests/chains/test_retry_floor_wiring.py	M1	15	206
A	tests/chains/test_scope_gap_membership.py	M3	1	199
A	tests/chains/test_scope_gap_selection.py	M3	1	71
A	tests/chains/test_scope_observations.py	M3	1	61
A	tests/chains/test_scope_ready.py	M3	1	528
M	tests/chains/test_shorthand_url_resolution.py	M1	14	26
A	tests/chains/test_stalled_handoff.py	M5	1	54
M	tests/chains/test_ticket_generation.py	M2	13	27
A	tests/chains/test_tool_preset_composition.py	M1	1	119
A	tests/chains/test_union_forge_isolation.py	M5	1	244
A	tests/chains/test_workflow_phase_composition.py	M3	1	352
A	tests/chains/test_write_back_verifier.py	M4	1	356
M	tests/conftest.py	M1	5	25
A	tests/core/test_agent_settings.py	M1	1	302
A	tests/core/test_audit_config.py	M6	1	39
M	tests/core/test_config.py	M1	15	34
M	tests/core/test_credential_shapes.py	M1	11	49
A	tests/core/test_delivery_config.py	M5	1	22
M	tests/core/test_docs_prompt_knobs.py	M1	11	48
A	tests/core/test_durable_admission.py	M1	1	236
A	tests/core/test_git_settings.py	M1	1	294
A	tests/core/test_http_settings.py	M1	1	130
A	tests/core/test_job_queue_settings.py	M1	1	211
M	tests/core/test_knowledge_connection.py	M1	44	889
M	tests/core/test_knowledge_grant.py	M1	9	54
M	tests/core/test_logging.py	M1	3	29
M	tests/core/test_logging_chain.py	M1	7	47
A	tests/core/test_logging_settings.py	M1	1	97
M	tests/core/test_notion_credential.py	M1	4	22
A	tests/core/test_organize_settings.py	M2	1	124
A	tests/core/test_owned_tasks.py	M1	1	66
A	tests/core/test_retired_config.py	M1	1	150
A	tests/core/test_surface_lease_config.py	M1	1	30
M	tests/core/test_tracker_credential.py	M1	5	12
A	tests/core/test_tracker_settings.py	M1	1	373
A	tests/docs/configuration.py	M1	1	55
M	tests/docs/test_api_event_reference.py	M1	2	15
